CODE,SL,সব্জি [VEGETABLES],UNIT,PRICE,UNIT,PRICE,,,,,,,,
AL,1,আলু [ALU] Potato,KG,,KG,,,,,,,,,
PO,2,পটল [POTOL] Pointed Gourd,KG,,,,,,,,,,,
BA,3,বরবটি [BORBOTI] Long beans,KG,,,,,,,,,,,
BG,4,বেগুন [BEGUN] Brinjal,KG,60,,,,,,,,,,
BT,5,বীট [BEET] Beetroot,KG,,,,,,,,,,,
BN,6,বীনস [BEANS] Beans,KG,,,,,,,,,,,
CH,7,চিচিঙ্গা [CHICHINGA] Snake Gourd,KG,40,,,,,,,,,,
CK,8,চাল কুমড়ো [CHAL KUMRO] Ash gourd,KG,25,,,,,,,,,,
DH,9,ঢেঁড়শ [DHENROS] Ladies finger,KG,50,,,,,,,,,,
EN,10,এঁচোড় [ENCHOR] Jackfruit raw,KG,,,,,,,,,,,
JH,11,ঝিঙে [JHINGE] Ridge gourd,KG,50,,,,,,,,,,
KA,12,কাঁচ কলা [KANCH KALA] Plantain,PIECE,,PIECE,,,,,,,,,
KO,13,কচু [KOCHU] ,KG,50,,,,,,,,,,
PK,14,পেঁপে কাঁচা [KANCHA PENPE] Green papaya,KG,60,,,,,,,,,,
KR,15,করলা [KOROLA] Bitter melon,KG,70,,,,,,,,,,
KU,16,কুমড়ো [KUMRO] Pumpkin,KG,40,,,,,,,,,,
KD,17,কুঁদলি [KUNDLI],KG,40,,,,,,,,,,
LA,18,লাউ  [LAU] Calabash,KG,30,,,,,,,,,,
MO,19,মোচা [MOCHA] Banana flower,PIECE,,,,,,,,,,,
MS,20,মটর শুঁটি [MOTOR SHUNTI] Peas,KG,,,,,,,,,,,
MU,21,মূলা [MULA] Radish,KG,,,,,,,,,,,
OK,22,ওল কপি  [OL KOPI] Kohlrabi,KG,,,,,,,,,,,
OL,23,ওল [OL] Elephant foot yam,KG,60,,,,,,,,,,
RA,24,রাঙা আলু  [RANGA ALU] Sweet potato,KG,,,,,,,,,,,
SD,25,সজনে ডাঁটা [SAJNE DANTA] Drum stick,KG,,,,,,,,,,,
SI,26,সীম [SEAM] Broad beans,KG,,,,,,,,,,,
TH,27,থোড় [THOR] Banana stem,PIECE,,,,,,,,,,,
TO,28,টমেটো [TOMATO] Tomato,KG,,,,,,,,,,,
UC,29,উচ্ছে [UCHCHHE] Bitter Gourd,KG,70,,,,,,,,,,
SH,30,শসা [SHASA] Cucumber,KG,60,,,,,,,,,,
GL,31,গন্ধরাজ লেবু [GONDHORAJ LEBU],PIECE,5,,,,,,,,,,
PA,32,পাতি লেবু [PATI LEBU] Lemon,KG,,,,,,,,,,,
BK,33,বাঁধা কপি [BANDHA KOPI] Cabbage,KG,,,,,,,,,,,
FK,34,ফুল কপি [FUL KOPI] Cauliflower,PIECE,,,,,,,,,,,
GA,35,গাজর [GAJOR] Carrot,KG,,,,,,,,,,,
PK,36,পেঁয়াজ কলি [PENYAJ KOLI] Scallion,KG,,,,,,,,,,,
BR,37,ব্রকলি [BROCCOLI] Broccoli,KG,,,,,,,,,,,
LE,38,লেটুস [LETTUCE] Lettuce,KG,,,,,,,,,,,
PC,39,পাক চই [PAK CHOI] Pak choi,KG,,,,,,,,,,,
ZU,40,জুকিনী [ZUCCHINI] Zucchini,KG,,,,,,,,,,,
,41,,,,,,,,,,,,,
,42,,,,,,,,,,,,,
,43,,,,,,,,,,,,,
,44,,,,,,,,,,,,,
,45,,,,,,,,,,,,,
,46,,,,,,,,,,,,,
,47,,,,,,,,,,,,,
,48,,,,,,,,,,,,,
,49,,,,,,,,,,,,,
,50,,,,,,,,,,,,,
CODE,SL,শাক [LEAFY VEGETABLES],UNIT,PRICE,UNIT,PRICE,,,,,,,,
DP,1,ধনে পাতা [DHONE PATA] Coriander leaves,100 GM,,,,,,,,,,,
HI,2,হিঞ্চে শাক [HINCHE SHAK] Hinche leaves,500 GM,,,,,,,,,,,
KM,3,কুমড়ো শাক [KUMRO SHAK] Pumpkin leaves,250 GM,,,,,,,,,,,
KS,4,কলমি শাক [KOLMI SHAK] Kolmi leaves,250 GM,10,,,,,,,,,,
KP,5,কুলপো শাক [KULPO SHAK] Kulpo leaves,250 GM,25,,,,,,,,,,
NA,6,লাল  নটে শাক [LAL NOTEY SHAK] Red amaranth leaves,100 GM,,,,,,,,,,,
LU,7,লাউ শাক [LAU SHAK] Calabash leaves,500 GM,20,,,,,,,,,,
ML,8,মূলা  শাক [MULA SHAK] Radish leaves,100 GM,,,,,,,,,,,
NT,9,নটে শাক [NOTEY SHAK] Amaranth leaves,100 GM,,,,,,,,,,,
PL,10,পালং শাক [PALONG SHAK] Spinach,100 GM,,,,,,,,,,,
PN,11,পুইন শাক [PUIN SHAK] Malabar spinach,500 GM,15,,,,,,,,,,
SJ,12,সজনে পাতা [SOJNE PATA] Moring leaves,100 GM,20,,,,,,,,,,
TS,13,থানকুনি শাক [THANKUNI SHAK] Indian pennywort,100 GM,20,,,,,,,,,,
,14,,,,,,,,,,,,,
,15,,KG,,,,,,,,,,,
CODE,SL,মশলা [SPICES],UNIT,PRICE,UNIT,PRICE,,,,,,,,
AD,1,আদা  [ADA] Ginger,100GM,,,,,,,,,,,
KL,2,কাঁচা লঙ্কা [KANCHA LANKA] Green chilli,100 GM,25,,,,,,,,,,
PE,3,পেঁয়াজ [PENYAJ] Onion,KG,,,,,,,,,,,
RS,4,রসুন [RASUN] Garlic,100 GM,,,,,,,,,,,
HG,5,হলুদ গুঁড়ো [HOLUD GUNRO] Turmeric Powder,100 GM,30,,,,,,,,,,
LG,6,লঙ্কা গুঁড়ো [LANKA GUNRO] Chilli powder,100 GM,35,,,,,,,,,,
KH,7,কাঁচা হলুদ [KANCHHA HOLUD] Raw turmeric,100 GM,15,,,,,,,,,,
KT,8,কাঁচা তেঁতুল [KANCH TENTUL] Raw tamarind,KG,,,,,,,,,,,
PT,9,পাকা  তেঁতুল [PAKA TENTUL] Tamarind,KG,120,,,,,,,,,,
,10,,,,,,,,,,,,,
,11,,,,,,,,,,,,,
,12,,,,,,,,,,,,,
CODE,SL,ফল [FRUITS],UNIT,PRICE,UNIT,PRICE,,,,,,,,
KK,1,কাঁঠালি কলা [KANTHALI KALA] Banana Kanthali,PIECE,,,,,,,,,,,
PE,2,পেয়ারা [PEYARA] Guava,PIECE,,,,,,,,,,,
PP,3,পাকা  পেঁপে [PAKA PENPE] Ripe papaya,KG,,,,,,,,,,,
SA,4,সপেদা [SAPEDA],PIECE,,,,,,,,,,,
DA,5,ডাব [DAB] Green coconut,PIECE,25,,,,,,,,,,
NK,6,নারিকেল [NARIKEL] Coconut,PIECE,30,,,,,,,,,,
AN,7,আনারস [ANARAS] Pineapple,PIECE,,,,,,,,,,,
TA,8,তরমুজ [TARMUJ] Water melon,KG,,,,,,,,,,,
,9,,,,,,,,,,,,,
,10,,,,,,,,,,,,,
,11,,,,,,,,,,,,,
,12,,,,,,,,,,,,,
CODE,SL,শস্য [CEREALS],UNIT,PRICE,UNIT,PRICE,,,,,,,,
RD,1,চাল দুধেশ্বর [DUDHESHWAR RICE],KG,55,,,,,,,,,,
RG,2,চাল গোবিন্দভোগ [GOBINDOBHOG RICE],KG,130,,,,,,,,,,
RK,3,চাল কালো [KALO CHAL] Black rice,KG,,,,,,,,,,,
RP,4,চাল পাশকাঠি [PASHKATHI Rice],KG,70,,,,,,,,,,
DM,5,মুগ ডাল [MOOG DAL],KG,200,,,,,,,,,,
,6,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
CODE,SL,বিবিধ [SUNDRIES],UNIT,PRICE,UNIT,PRICE,,,,,,,,
GH,1,ঘি [GHEE],100GM,150,,,,,,,,,,
KG,2,খেজুর গুড় [KHEJUR GUR] Dates syrup jaggery,500 GM,,,,,,,,,,,
MA,3,মধু [MADHU] Honey,250 GM,125,,,,,,,,,,
MR,4,মুড়ি [MURI] Puffed rice,KG,,,,,,,,,,,
,5,,,,,,,,,,,,,
,6,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
CODE,SL,ডিম [EGGS],UNIT,PRICE,UNIT,PRICE,,,,,,,,
MD,1,মুরগীর ডিম [MURGI DIM] Hen eggs,PIECE,9,,,,,,,,,,
HD,2,হাঁসের ডিম [HANSER DIM] Duck eggs,PIECE,9,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
